City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,53.92,73,99,1.01,AU,2022-08-11 02:32:26
1,Dikson,73.5069,80.5464,41.99,89,100,11.74,RU,2022-08-11 02:32:26
2,Coihaique,-45.5752,-72.0662,41.61,81,0,5.75,CL,2022-08-11 02:31:55
3,Port Alfred,-33.5906,26.891,58.55,84,72,4.27,ZA,2022-08-11 02:32:27
4,Aswan,24.0934,32.907,88.12,28,31,11.77,EG,2022-08-11 02:32:28
5,Ushuaia,-54.8,-68.3,35.26,93,100,2.3,AR,2022-08-11 02:27:46
6,Eureka,40.8021,-124.1637,71.2,84,34,2.06,US,2022-08-11 02:32:28
7,Busselton,-33.65,115.3333,58.32,66,58,4.52,AU,2022-08-11 02:32:28
8,Samana,19.2056,-69.3369,78.64,87,90,9.15,DO,2022-08-11 02:32:29
9,Mataura,-46.1927,168.8643,44.47,59,31,5.86,NZ,2022-08-11 02:32:29
10,San Giuliano Terme,43.7616,10.4404,76.91,52,0,10.36,IT,2022-08-11 02:32:29
11,Mecca,21.4267,39.8261,87.33,67,93,6.11,SA,2022-08-11 02:32:30
12,Atuona,-9.8,-139.0333,77.07,76,0,22.91,PF,2022-08-11 02:32:30
13,Sinop,41.7711,34.8709,65.17,61,15,6.67,TR,2022-08-11 02:32:31
14,Punta Arenas,-53.15,-70.9167,33.91,93,0,4.61,CL,2022-08-11 02:27:55
15,Cherskiy,68.75,161.3,69.8,51,10,2.57,RU,2022-08-11 02:32:31
16,Yaan,7.3833,8.5667,72.27,97,100,7.0,NG,2022-08-11 02:32:31
17,Hirara,24.8,125.2833,87.66,89,75,9.22,JP,2022-08-11 02:32:32
18,Tonantins,-2.8731,-67.8022,72.19,99,53,1.81,BR,2022-08-11 02:32:32
19,Louga,58.7372,29.8453,52.43,71,52,4.47,RU,2022-08-11 02:32:33
20,Sao Joao Da Barra,-21.6403,-41.0511,70.45,67,82,10.69,BR,2022-08-11 02:32:33
21,East London,-33.0153,27.9116,60.85,80,96,1.97,ZA,2022-08-11 02:27:33
22,Antofagasta,-23.65,-70.4,56.48,81,16,3.22,CL,2022-08-11 02:31:29
23,Mahebourg,-20.4081,57.7,67.24,72,40,13.8,MU,2022-08-11 02:32:34
24,Spearfish,44.4908,-103.8594,88.86,30,0,13.8,US,2022-08-11 02:32:34
25,Leningradskiy,69.3833,178.4167,46.98,80,65,6.64,RU,2022-08-11 02:32:35
26,Guerrero Negro,27.9769,-114.0611,74.03,72,100,12.12,MX,2022-08-11 02:32:35
27,Palmer,42.1584,-72.3287,72.21,74,75,3.44,US,2022-08-11 02:32:35
28,Airai,-8.9266,125.4092,73.76,50,47,3.24,TL,2022-08-11 02:32:36
29,Kaitangata,-46.2817,169.8464,44.71,61,30,5.77,NZ,2022-08-11 02:29:55
30,Tasiilaq,65.6145,-37.6368,39.36,77,89,3.13,GL,2022-08-11 02:32:36
31,Aban,56.67,96.06,67.42,59,0,7.78,RU,2022-08-11 02:32:36
32,Nikolskoye,59.7035,30.7861,58.87,77,97,4.81,RU,2022-08-11 02:32:37
33,Pevek,69.7008,170.3133,43.14,90,33,3.65,RU,2022-08-11 02:29:57
34,Chokurdakh,70.6333,147.9167,72.1,42,100,9.46,RU,2022-08-11 02:30:14
35,Rojhan,28.6868,69.9534,97.5,44,37,10.22,PK,2022-08-11 02:32:37
36,Kapaa,22.0752,-159.319,85.98,71,0,16.11,US,2022-08-11 02:32:38
37,Alofi,-19.0595,-169.9187,80.49,65,40,10.36,NU,2022-08-11 02:32:38
38,Hermanus,-34.4187,19.2345,49.8,89,96,7.52,ZA,2022-08-11 02:32:31
39,Takoradi,4.8845,-1.7554,72.36,93,33,7.99,GH,2022-08-11 02:32:39
40,Longyearbyen,78.2186,15.6401,46.24,76,75,13.8,SJ,2022-08-11 02:32:39
41,Georgetown,5.4112,100.3354,85.95,81,20,5.75,MY,2022-08-11 02:28:47
42,Cape Town,-33.9258,18.4232,56.1,94,40,6.91,ZA,2022-08-11 02:32:40
